"Infant","Mother.Rank","Handler","Handler.Rank"
"NK/NY","Mid","RS","Low"
"NK/NY","Mid","RS","Low"
"PZ/PS","Mid","KM","Hi"
"PZ/PS","Mid","KN","Hi"
"PZ/PS","Mid","KN","Hi"
"PZ/PS","Mid","KN","Hi"
"PZ/PS","Mid","NQ","Hi"
"PZ/PS","Mid","NQ","Hi"
"PZ/PS","Mid","NQ","Hi"
"PZ/PS","Mid","NQ","Hi"
"PZ/PS","Mid","PO","Hi"
"PZ/PS","Mid","WK","Mid"
"PZ/PS","Mid","WK","Mid"
"PZ/PS","Mid","CO","Low"
"PZ/PS","Mid","CO","Low"
"PZ/PS","Mid","MH","Low"
"PZ/PS","Mid","MH","Low"
"PZ/PS","Mid","MH","Low"
"PZ/PS","Mid","MM","Low"
"PZ/PS","Mid","PA","Low"
"PZ/PS","Mid","PT","Low"
"PZ/PS","Mid","PT","Low"
"PZ/PS","Mid","PT","Low"
"CY/CO","Low","KM","Hi"
"CY/CO","Low","KM","Hi"
"CY/CO","Low","KN","Hi"
"CY/CO","Low","KN","Hi"
"CY/CO","Low","NQ","Hi"
"CY/CO","Low","NQ","Hi"
"CY/CO","Low","NQ","Hi"
"CY/CO","Low","NQ","Hi"
"CY/CO","Low","NQ","Hi"
"CY/CO","Low","NQ","Hi"
"CY/CO","Low","NQ","Hi"
"CY/CO","Low","PO","Hi"
"CY/CO","Low","PO","Hi"
"CY/CO","Low","PO","Hi"
"CY/CO","Low","HQ","Mid"
"CY/CO","Low","LL","Mid"
"CY/CO","Low","NY","Mid"
"CY/CO","Low","NY","Mid"
"CY/CO","Low","SK","Mid"
"CY/CO","Low","SK","Mid"
"CY/CO","Low","SK","Mid"
"CY/CO","Low","ST","Mid"
"CY/CO","Low","ST","Mid"
"CY/CO","Low","ST","Mid"
"CY/CO","Low","ST","Mid"
"CY/CO","Low","ST","Mid"
"CY/CO","Low","ST","Mid"
"CY/CO","Low","ST","Mid"
"CY/CO","Low","ST","Mid"
"CY/CO","Low","ST","Mid"
"CY/CO","Low","ST","Mid"
"CY/CO","Low","ST","Mid"
"CY/CO","Low","ST","Mid"
"CY/CO","Low","WK","Mid"
"CY/CO","Low","WK","Mid"
"CY/CO","Low","WK","Mid"
"CY/CO","Low","WK","Mid"
"CY/CO","Low","WK","Mid"
"CY/CO","Low","WK","Mid"
"CY/CO","Low","WK","Mid"
"CY/CO","Low","WK","Mid"
"CY/CO","Low","WK","Mid"
"CY/CO","Low","WK","Mid"
"CY/CO","Low","WK","Mid"
"CY/CO","Low","WK","Mid"
"CY/CO","Low","WK","Mid"
"CY/CO","Low","WK","Mid"
"CY/CO","Low","WK","Mid"
"CY/CO","Low","WK","Mid"
"CY/CO","Low","AL","Low"
"CY/CO","Low","AL","Low"
"CY/CO","Low","AL","Low"
"CY/CO","Low","DD","Low"
"CY/CO","Low","DD","Low"
"CY/CO","Low","MH","Low"
"CY/CO","Low","MH","Low"
"CY/CO","Low","PA","Low"
"CY/CO","Low","RS","Low"
"CY/CO","Low","RS","Low"
"LZ/LS","Low","KM","Hi"
"LZ/LS","Low","NQ","Hi"
"LZ/LS","Low","NQ","Hi"
"LZ/LS","Low","NQ","Hi"
"LZ/LS","Low","PO","Hi"
"LZ/LS","Low","PO","Hi"
"LZ/LS","Low","HQ","Mid"
"LZ/LS","Low","LL","Mid"
"LZ/LS","Low","SK","Mid"
"LZ/LS","Low","SK","Mid"
"LZ/LS","Low","WK","Mid"
"LZ/LS","Low","WK","Mid"
"LZ/LS","Low","WK","Mid"
"LZ/LS","Low","WK","Mid"
"LZ/LS","Low","WK","Mid"
"LZ/LS","Low","AL","Low"
"LZ/LS","Low","AL","Low"
"LZ/LS","Low","CO","Low"
"LZ/LS","Low","CO","Low"
"LZ/LS","Low","DD","Low"
"LZ/LS","Low","DD","Low"
"LZ/LS","Low","LY","Low"
"LZ/LS","Low","MH","Low"
"LZ/LS","Low","MH","Low"
"LZ/LS","Low","MH","Low"
"LZ/LS","Low","MH","Low"
"LZ/LS","Low","MH","Low"
"LZ/LS","Low","MH","Low"
"LZ/LS","Low","MH","Low"
"LZ/LS","Low","MH","Low"
"LZ/LS","Low","MH","Low"
"LZ/LS","Low","ML","Low"
"LZ/LS","Low","ML","Low"
"LZ/LS","Low","PT","Low"
"LZ/LS","Low","PT","Low"
"LZ/LS","Low","PT","Low"
"LZ/LS","Low","RS","Low"
"LZ/LS","Low","RS","Low"
"MQ/ML","Low","KN","Hi"
"MQ/ML","Low","NQ","Hi"
"MQ/ML","Low","NQ","Hi"
"MQ/ML","Low","NQ","Hi"
"MQ/ML","Low","NQ","Hi"
"MQ/ML","Low","NQ","Hi"
"MQ/ML","Low","PO","Hi"
"MQ/ML","Low","PO","Hi"
"MQ/ML","Low","HQ","Mid"
"MQ/ML","Low","HQ","Mid"
"MQ/ML","Low","LL","Mid"
"MQ/ML","Low","LL","Mid"
"MQ/ML","Low","LL","Mid"
"MQ/ML","Low","LL","Mid"
"MQ/ML","Low","NY","Mid"
"MQ/ML","Low","NY","Mid"
"MQ/ML","Low","PS","Mid"
"MQ/ML","Low","PS","Mid"
"MQ/ML","Low","SK","Mid"
"MQ/ML","Low","SK","Mid"
"MQ/ML","Low","ST","Mid"
"MQ/ML","Low","ST","Mid"
"MQ/ML","Low","ST","Mid"
"MQ/ML","Low","ST","Mid"
"MQ/ML","Low","WK","Mid"
"MQ/ML","Low","WK","Mid"
"MQ/ML","Low","WK","Mid"
"MQ/ML","Low","WK","Mid"
"MQ/ML","Low","WK","Mid"
"MQ/ML","Low","AL","Low"
"MQ/ML","Low","AL","Low"
"MQ/ML","Low","AL","Low"
"MQ/ML","Low","AL","Low"
"MQ/ML","Low","AL","Low"
"MQ/ML","Low","AL","Low"
"MQ/ML","Low","AL","Low"
"MQ/ML","Low","CO","Low"
"MQ/ML","Low","CO","Low"
"MQ/ML","Low","CO","Low"
"MQ/ML","Low","CO","Low"
"MQ/ML","Low","CO","Low"
"MQ/ML","Low","DD","Low"
"MQ/ML","Low","DD","Low"
"MQ/ML","Low","LS","Low"
"MQ/ML","Low","LY","Low"
"MQ/ML","Low","MH","Low"
"MQ/ML","Low","MH","Low"
"MQ/ML","Low","MH","Low"
"MQ/ML","Low","MH","Low"
"MQ/ML","Low","MH","Low"
"MQ/ML","Low","MH","Low"
"MQ/ML","Low","MH","Low"
"MQ/ML","Low","MM","Low"
"MQ/ML","Low","MM","Low"
"MQ/ML","Low","MM","Low"
"MQ/ML","Low","MM","Low"
"MQ/ML","Low","PA","Low"
"MQ/ML","Low","PA","Low"
"MQ/ML","Low","PA","Low"
"MQ/ML","Low","PA","Low"
"MQ/ML","Low","PH","Low"
"MQ/ML","Low","RS","Low"
"MQ/ML","Low","RS","Low"
"MW/MH","Low","KM","Hi"
"MW/MH","Low","KM","Hi"
"MW/MH","Low","KM","Hi"
"MW/MH","Low","NQ","Hi"
"MW/MH","Low","NQ","Hi"
"MW/MH","Low","NQ","Hi"
"MW/MH","Low","NQ","Hi"
"MW/MH","Low","NQ","Hi"
"MW/MH","Low","NQ","Hi"
"MW/MH","Low","NQ","Hi"
"MW/MH","Low","PO","Hi"
"MW/MH","Low","PO","Hi"
"MW/MH","Low","PO","Hi"
"MW/MH","Low","PO","Hi"
"MW/MH","Low","HQ","Mid"
"MW/MH","Low","HQ","Mid"
"MW/MH","Low","LL","Mid"
"MW/MH","Low","LL","Mid"
"MW/MH","Low","LL","Mid"
"MW/MH","Low","PS","Mid"
"MW/MH","Low","PS","Mid"
"MW/MH","Low","PS","Mid"
"MW/MH","Low","PS","Mid"
"MW/MH","Low","PS","Mid"
"MW/MH","Low","SK","Mid"
"MW/MH","Low","SK","Mid"
"MW/MH","Low","ST","Mid"
"MW/MH","Low","ST","Mid"
"MW/MH","Low","ST","Mid"
"MW/MH","Low","ST","Mid"
"MW/MH","Low","ST","Mid"
"MW/MH","Low","ST","Mid"
"MW/MH","Low","ST","Mid"
"MW/MH","Low","ST","Mid"
"MW/MH","Low","WK","Mid"
"MW/MH","Low","WK","Mid"
"MW/MH","Low","WK","Mid"
"MW/MH","Low","WK","Mid"
"MW/MH","Low","WK","Mid"
"MW/MH","Low","WK","Mid"
"MW/MH","Low","WK","Mid"
"MW/MH","Low","WK","Mid"
"MW/MH","Low","WK","Mid"
"MW/MH","Low","WK","Mid"
"MW/MH","Low","WK","Mid"
"MW/MH","Low","WK","Mid"
"MW/MH","Low","WK","Mid"
"MW/MH","Low","AL","Low"
"MW/MH","Low","AL","Low"
"MW/MH","Low","AL","Low"
"MW/MH","Low","AL","Low"
"MW/MH","Low","AL","Low"
"MW/MH","Low","AL","Low"
"MW/MH","Low","AL","Low"
"MW/MH","Low","CO","Low"
"MW/MH","Low","CO","Low"
"MW/MH","Low","CO","Low"
"MW/MH","Low","CO","Low"
"MW/MH","Low","CO","Low"
"MW/MH","Low","CO","Low"
"MW/MH","Low","CO","Low"
"MW/MH","Low","CO","Low"
"MW/MH","Low","CO","Low"
"MW/MH","Low","CO","Low"
"MW/MH","Low","CO","Low"
"MW/MH","Low","CO","Low"
"MW/MH","Low","CO","Low"
"MW/MH","Low","CO","Low"
"MW/MH","Low","DD","Low"
"MW/MH","Low","DD","Low"
"MW/MH","Low","ML","Low"
"MW/MH","Low","ML","Low"
"MW/MH","Low","ML","Low"
"MW/MH","Low","ML","Low"
"MW/MH","Low","PA","Low"
"MW/MH","Low","PA","Low"
"MW/MH","Low","PA","Low"
"MW/MH","Low","PA","Low"
"MW/MH","Low","PA","Low"
"MW/MH","Low","PA","Low"
"MW/MH","Low","PA","Low"
"MW/MH","Low","PA","Low"
"MW/MH","Low","PT","Low"
"MW/MH","Low","PT","Low"
"MW/MH","Low","PT","Low"
"MW/MH","Low","PT","Low"
"MW/MH","Low","PT","Low"
"MW/MH","Low","PT","Low"
"MW/MH","Low","PT","Low"
"MW/MH","Low","PT","Low"
"MW/MH","Low","PT","Low"
"MW/MH","Low","PT","Low"
"MW/MH","Low","PT","Low"
"MW/MH","Low","PT","Low"
"MW/MH","Low","PT","Low"
"MW/MH","Low","RS","Low"
"MW/MH","Low","RS","Low"
"MW/MH","Low","RS","Low"
"MW/MH","Low","RS","Low"
"MW/MH","Low","RS","Low"
"MW/MH","Low","RS","Low"
"MX/MM","Low","KM","Hi"
"MX/MM","Low","KM","Hi"
"MX/MM","Low","KN","Hi"
"MX/MM","Low","KN","Hi"
"MX/MM","Low","KN","Hi"
"MX/MM","Low","NQ","Hi"
"MX/MM","Low","NQ","Hi"
"MX/MM","Low","NQ","Hi"
"MX/MM","Low","NQ","Hi"
"MX/MM","Low","PO","Hi"
"MX/MM","Low","PO","Hi"
"MX/MM","Low","PO","Hi"
"MX/MM","Low","PO","Hi"
"MX/MM","Low","PO","Hi"
"MX/MM","Low","ST","Mid"
"MX/MM","Low","ST","Mid"
"MX/MM","Low","ST","Mid"
"MX/MM","Low","ST","Mid"
"MX/MM","Low","ST","Mid"
"MX/MM","Low","WK","Mid"
"MX/MM","Low","WK","Mid"
"MX/MM","Low","AL","Low"
"MX/MM","Low","AL","Low"
"MX/MM","Low","AL","Low"
"MX/MM","Low","AL","Low"
"MX/MM","Low","AL","Low"
"MX/MM","Low","AL","Low"
"MX/MM","Low","AL","Low"
"MX/MM","Low","AL","Low"
"MX/MM","Low","AL","Low"
"MX/MM","Low","CO","Low"
"MX/MM","Low","CO","Low"
"MX/MM","Low","CO","Low"
"MX/MM","Low","DD","Low"
"MX/MM","Low","MH","Low"
"MX/MM","Low","MH","Low"
"MX/MM","Low","PA","Low"
"MX/MM","Low","PH","Low"
"MX/MM","Low","PH","Low"
"MX/MM","Low","PT","Low"
"MX/MM","Low","PT","Low"
"MX/MM","Low","RS","Low"
"MX/MM","Low","RS","Low"
"MX/MM","Low","RS","Low"
"MM/PH","Low","KM","Hi"
"MM/PH","Low","KM","Hi"
"MM/PH","Low","NQ","Hi"
"MM/PH","Low","NQ","Hi"
"MM/PH","Low","NQ","Hi"
"MM/PH","Low","NQ","Hi"
"MM/PH","Low","NQ","Hi"
"MM/PH","Low","NQ","Hi"
"MM/PH","Low","PO","Hi"
"MM/PH","Low","PO","Hi"
"MM/PH","Low","PO","Hi"
"MM/PH","Low","PO","Hi"
"MM/PH","Low","HQ","Mid"
"MM/PH","Low","HQ","Mid"
"MM/PH","Low","HQ","Mid"
"MM/PH","Low","LL","Mid"
"MM/PH","Low","LL","Mid"
"MM/PH","Low","LL","Mid"
"MM/PH","Low","LL","Mid"
"MM/PH","Low","NY","Mid"
"MM/PH","Low","ST","Mid"
"MM/PH","Low","ST","Mid"
"MM/PH","Low","ST","Mid"
"MM/PH","Low","ST","Mid"
"MM/PH","Low","ST","Mid"
"MM/PH","Low","ST","Mid"
"MM/PH","Low","ST","Mid"
"MM/PH","Low","ST","Mid"
"MM/PH","Low","ST","Mid"
"MM/PH","Low","ST","Mid"
"MM/PH","Low","ST","Mid"
"MM/PH","Low","ST","Mid"
"MM/PH","Low","ST","Mid"
"MM/PH","Low","ST","Mid"
"MM/PH","Low","ST","Mid"
"MM/PH","Low","WK","Mid"
"MM/PH","Low","WK","Mid"
"MM/PH","Low","WK","Mid"
"MM/PH","Low","WK","Mid"
"MM/PH","Low","WK","Mid"
"MM/PH","Low","WK","Mid"
"MM/PH","Low","WK","Mid"
"MM/PH","Low","WK","Mid"
"MM/PH","Low","WK","Mid"
"MM/PH","Low","WK","Mid"
"MM/PH","Low","AL","Low"
"MM/PH","Low","AL","Low"
"MM/PH","Low","AL","Low"
"MM/PH","Low","AL","Low"
"MM/PH","Low","AL","Low"
"MM/PH","Low","AL","Low"
"MM/PH","Low","AL","Low"
"MM/PH","Low","AL","Low"
"MM/PH","Low","CO","Low"
"MM/PH","Low","CO","Low"
"MM/PH","Low","CO","Low"
"MM/PH","Low","CO","Low"
"MM/PH","Low","CO","Low"
"MM/PH","Low","DD","Low"
"MM/PH","Low","LY","Low"
"MM/PH","Low","LY","Low"
"MM/PH","Low","LY","Low"
"MM/PH","Low","MH","Low"
"MM/PH","Low","ML","Low"
"MM/PH","Low","MM","Low"
"MM/PH","Low","MM","Low"
"MM/PH","Low","MM","Low"
"MM/PH","Low","MM","Low"
"MM/PH","Low","MM","Low"
"MM/PH","Low","MM","Low"
"MM/PH","Low","PA","Low"
"MM/PH","Low","PA","Low"
"MM/PH","Low","PA","Low"
"MM/PH","Low","PT","Low"
"MM/PH","Low","PT","Low"
"MM/PH","Low","PT","Low"
"MM/PH","Low","PT","Low"
"MM/PH","Low","PT","Low"
"MM/PH","Low","PT","Low"
"MM/PH","Low","PT","Low"
"MM/PH","Low","RS","Low"
"MM/PH","Low","RS","Low"
"MM/PH","Low","RS","Low"
"MM/PH","Low","RS","Low"
"MM/PH","Low","RS","Low"
